step,time_s,vortex_signal_pa,p_upstream_pa,p_downstream_pa,pressure_drop_pa,max_lattice_velocity
30000,0.08923237022526934,-5075.194249195118,7990.040881723633,4470.541988595094,3519.498893128539,0.0799603079782382
30005,0.08924724228697355,-5072.117116664602,8024.826976430411,4502.567262640601,3522.25971378981,0.07990096597533643
30010,0.08926211434867776,-5069.0449700453955,8059.768029946315,4533.625187917265,3526.1428420290504,0.07980559874471974
30015,0.08927698641038197,-5065.813784120593,8094.817977660206,4563.547160049593,3531.2708176106134,0.07970702056864161
30020,0.08929185847208619,-5062.122948328999,8129.912290499756,4592.163891277998,3537.7483992217576,0.07970557269549826
30025,0.0893067305337904,-5057.531634704524,8164.971219948158,4619.312409990877,3545.658809957281,0.07966817795235456
30030,0.08932160259549461,-5051.469754569842,8199.904703964268,4644.844375421044,3555.0603285432244,0.07959368993222662
30035,0.08933647465719882,-5043.261331466469,8234.61863807368,4668.635273282256,3565.983364791424,0.0794813887897744
30040,0.08935134671890303,-5032.156388447054,8269.022043815497,4690.593803724703,3578.428240090794,0.07944642037300301
30045,0.08936621878060724,-5017.3665510243845,8303.034550884655,4710.670622741317,3592.363928143338,0.07943664772258195
30050,0.08938109084231145,-4998.099658945649,8336.593565284646,4728.865561287475,3607.72800399717,0.07938852528745317
30055,0.08939596290401566,-4973.589703205287,8369.660519537501,4745.232509879661,3624.4280096578404,0.07930101341527462
30060,0.08941083496571987,-4943.120092681774,8402.225673558936,4759.881296872788,3642.3443766861483,0.0791806604392538
30065,0.08942570702742408,-4906.040181980929,8434.311032230764,4772.976083246032,3661.3349489847315,0.07920163463295211
30070,0.0894405790891283,-4861.776671704613,8465.971050125834,4784.730029447954,3681.2410206778804,0.07918264579344482
30075,0.08945545115083252,-4809.842504961537,8497.290900696731,4795.396250930691,3701.89464976604,0.07912230183588738
30080,0.08947032321253673,-4749.845998102484,8528.38220630152,4805.255360527878,3723.1268457736414,0.0790198316992474
30085,0.08948519527424094,-4681.502187069739,8559.376273692324,4814.600186146938,3744.776087545386,0.07894954715984454
30090,0.08950006733594515,-4604.64701472546,8590.415069835284,4823.718532270107,3766.696537565177,0.07896047898893647
30095,0.08951493939764936,-4519.253450019378,8621.64040235032,4832.875097019069,3788.7653053312515,0.07892821899889961
30100,0.08952981145935357,-4425.447349470729,8653.182013430138,4842.293832583633,3810.888180846505,0.07885177398791082
30105,0.08954468352105778,-4323.520163609935,8685.145513083547,4852.142117092346,3833.0033959912016,0.07873095470813853
30110,0.08955955558276199,-4213.9355892139465,8717.601215998518,4862.51806969175,3855.083146306769,0.07870722748755483
30115,0.0895744276444662,-4097.327916231685,8750.574962256029,4873.442178900441,3877.132783355588,0.07870442968018646
30120,0.08958929970617041,-3974.490920484116,8784.041872880965,4884.854132652124,3899.187740228842,0.07865593124607412
30125,0.08960417176787462,-3846.3574459033443,8817.923724342445,4896.615356570189,3921.308367772256,0.0786292234031429
30130,0.08961904382957885,-3713.971040112946,8852.090259182296,4908.517317316535,3943.572941865761,0.07869507514580773
30135,0.08963391589128306,-3578.451942169732,8886.364341832814,4920.295172476086,3966.069169356728,0.07874780165795472
30140,0.08964878795298727,-3440.9602377490937,8920.530485199335,4931.645894654941,3988.884590544394,0.07878746130818821
30145,0.08966366001469148,-3302.6590552673947,8954.345971833634,4942.249611665293,4012.0963601683416,0.07881411730884395
30150,0.08967853207639569,-3164.6803282666056,8987.553609836084,4951.792625051215,4035.76098478487,0.07887941050861212
30155,0.0896934041380999,-3028.0950242393383,9019.895108407374,4959.990419764188,4059.904688643186,0.07895062946007683
30160,0.08970827619980411,-2893.889011967385,9051.124118021573,4966.608966078686,4084.5151519428873,0.07902052893042108
30165,0.08972314826150832,-2762.9450822082244,9081.018126245568,4971.482734931087,4109.535391314481,0.07907938988481056
30170,0.08973802032321253,-2636.031173570781,9109.388596115448,4974.528086750558,4134.86050936489,0.07917142915504825
30175,0.08975289238491674,-2513.7946230672987,9136.088944603243,4975.751036280871,4160.337908322373,0.079262590198888
30180,0.08976776444662095,-2396.7621991571277,9161.020155783724,4975.248823995035,4185.771331788689,0.07934253084167114
30185,0.08978263650832517,-2285.3456582492504,9184.133987960682,4973.205212286324,4210.928775674358,0.07941117208064484
30190,0.08979750857002938,-2179.8524589834146,9205.433857662998,4969.879930827552,4235.553926835446,0.0794684516921106
30195,0.0898123806317336,-2080.5009915396263,9224.973566612114,4965.593164587945,4259.38040202417,0.07953128627299016
30200,0.0898272526934378,-1987.4392387625744,9242.854088048905,4960.706348563198,4282.1477394857075,0.07962329366098957
30205,0.08984212475514201,-1900.7652695801557,9259.218656958481,4955.600755138119,4303.617901820362,0.0797034404654323
30210,0.08985699681684622,-1820.5474977011377,9274.246425474237,4950.65541043516,4323.591015039077,0.07977159748912357
30215,0.08987186887855043,-1746.842335904952,9288.144957377637,4946.225768281687,4341.91918909595,0.07982766168763339
30220,0.08988674094025464,-1679.706818664667,9301.141847459074,4942.624348924525,4358.517498534548,0.07987155816843962
30225,0.08990161300195885,-1619.2040018769762,9313.475762139127,4940.10427484629,4373.371487292838,0.07993774124304498
30230,0.08991648506366307,-1565.3995076781684,9325.387204750063,4938.846364489857,4386.540840260206,0.08001617895835617
30235,0.08993135712536728,-1518.3484781287875,9337.109309290847,4938.950213083698,4398.159096207149,0.0800814181258682
30240,0.0899462291870715,-1478.0734077281409,9348.858957936302,4940.429507344177,4408.429450592124,0.08013334937233622
30245,0.08996110124877571,-1444.534741064359,9360.82849873888,4943.211673653378,4417.616825085502,0.08017191476491256
30250,0.08997597331047992,-1417.5975519035464,9373.178310548825,4947.1418218238505,4426.036488724974,0.08019711317074504
30255,0.08999084537218413,-1396.9987889273198,9386.030423116004,4951.99079690884,4434.0396262071645,0.08024144350857193
30260,0.09000571743388834,-1382.320186974473,9399.46335443391,4957.466982716276,4441.996371717634,0.08029871605411025
30265,0.09002058949559255,-1372.971773324628,9413.508279979242,4963.231324024641,4450.2769559546,0.08034149249037885
30270,0.09003546155729676,-1368.1898633562264,9428.146607558547,4968.914873146606,4459.231734411941,0.08036988654265252
30275,0.09005033361900097,-1367.0516456818636,9443.309006215663,4974.1380431429225,4469.17096307274,0.08038410579163417
30280,0.09006520568070518,-1368.5061896879797,9458.875935028858,4978.530674501231,4480.345260527627,0.08038445600072085
30285,0.09008007774240939,-1371.4193710706013,9474.67973827492,4981.751986362672,4492.927751912247,0.08037894271521528
30290,0.0900949498041136,-1374.628224499576,9490.50840778022,4983.509466836302,4506.998940943919,0.08040934183247712
30295,0.09010982186581783,-1376.9989365712077,9506.111141600635,4983.575740468143,4522.535401132493,0.08042539481455116
30300,0.09012469392752204,-1377.4822717895809,9521.20582455774,4981.802432514748,4539.403392042991,0.0804275905371318
30305,0.09013956598922625,-1375.1606908499634,9535.48849714224,4978.130052833125,4557.358444309115,0.08045489846052523
30310,0.09015443805093046,-1369.282636283957,9548.644752985558,4972.592991646082,4576.051761339476,0.0804905535182889
30315,0.09016931011263467,-1359.2811945007898,9560.362818034919,4965.318904590723,4595.043913444196,0.0805131618316381
30320,0.09018418217433888,-1344.776322976909,9570.347842357265,4956.52209625495,4613.825746102315,0.08053443727004536
30325,0.09019905423604309,-1325.5617831031013,9578.336717345952,4946.490983225689,4631.845734120263,0.08059108614258056
30330,0.0902139262977473,-1301.5795918668273,9584.11255948044,4935.570278085361,4648.542281395079,0.08063412944458274
30335,0.09022879835945151,-1272.885994260716,9587.517911203393,4924.139097433851,4663.378813769542,0.08066389024316839
30340,0.09024367042115572,-1239.6135299403322,9588.465718162797,4912.586658981525,4675.879059181272,0.08068069906937582
30345,0.09025854248285993,-1201.9336865125333,9586.947248901202,4901.287508205235,4685.659740695967,0.08068490029351341
30350,0.09027341454456415,-1160.0239669051853,9583.036310181975,4890.57825454604,4692.458055635935,0.08067686075311394
30355,0.09028828660626836,-1114.0421070416105,9576.889350464411,4880.737600038681,4696.15175042573,0.08065697850145104
30360,0.09030315866797257,-1064.1088696267398,9568.74130553694,4871.971054092036,4696.770251444904,0.08065880326912338
30365,0.09031803072967678,-1010.2995280762407,9558.897298753007,4864.401220680142,4694.496078072865,0.08067035666559827
30370,0.090332902791381,-952.6430379305348,9547.72054723275,4858.063999820632,4689.656547412118,0.08066924674640942
30375,0.0903477748530852,-891.1271284940849,9535.61703712644,4852.910534119801,4682.706503006639,0.08065602029834376
30380,0.09036264691478942,-825.7072338747566,9523.017713159787,4848.814301001285,4674.203412158502,0.08063127687129742
30385,0.09037751897649363,-756.3173399751358,9510.359078109366,4845.582426291524,4664.776651817842,0.08059565414648244
30390,0.09039239103819784,-682.8813733867901,9498.06320976425,4842.970081448354,4655.093128315896,0.08054981030434015
30395,0.09040726309990205,-605.3245219454129,9486.518263278589,4840.696721633223,4645.821541645366,0.08049589421387686
30400,0.09042213516160626,-523.5846131602457,9476.060518871163,4838.462917683328,4637.597601187836,0.08053014317590547
30405,0.09043700722331048,-437.6241481945335,9466.958945079543,4835.966622485908,4630.9923225936345,0.08055088132277043
30410,0.09045187928501469,-347.44364149281955,9459.403073660957,4832.917878478952,4626.485195182005,0.08055859890206277
30415,0.0904667513467189,-253.0965341855608,9453.494737888619,4829.05120067476,4624.443537213859,0.0805537900869774
30420,0.09048162340842311,-154.7052650250289,9449.243941945708,4824.135136725308,4625.1088052203995,0.08053694458444376
30425,0.09049649547012732,-52.47732832627571,9446.568846005406,4817.978787628065,4628.590058377341,0.08050854379640564
30430,0.09051136753183153,53.280424024727836,9445.299609636,4810.435345242367,4634.864264393634,0.08046906034633755
30435,0.09052623959353574,162.15118376074315,9445.185664058938,4801.402943245883,4643.782720813055,0.08045584328490837
30440,0.09054111165523995,273.6030098397796,9445.905891760507,4790.823306565956,4655.082585194551,0.08045531085035522
30445,0.09055598371694416,386.990201740643,9447.081170369458,4778.678804140067,4668.402366229391,0.08044380096163738
30450,0.09057085577864837,501.56156035517415,9448.288762143373,4764.988549425998,4683.300212717375,0.0804219421652717
30455,0.09058572784035258,616.475090083838,9449.078070477026,4749.8041485003605,4699.273921976665,0.0803903350927702
30460,0.09060059990205681,730.8180881784865,9448.987313763204,4733.205573686101,4715.781740077103,0.08034953877704418
30465,0.09061547196376102,843.6312289024263,9447.560669099823,4715.297460370687,4732.263208729136,0.08030005750971701
30470,0.09063034402546523,953.935178646695,9444.365412079425,4696.205915761328,4748.159496318098,0.08024232847036775
30475,0.09064521608716944,1060.7583952806444,9439.008534857301,4676.075726587875,4762.9328082694265,0.08022847741091976
30480,0.09066008814887365,1163.1649583475491,9431.152280901919,4655.06769335261,4776.084587549309,0.08025187454333872
30485,0.09067496021057786,1260.2814457934173,9420.528010180047,4633.355728983074,4787.172281196973,0.08026347992545504
30490,0.09068983227228207,1351.321962914435,9406.947817537657,4611.123354246244,4795.824463291413,0.08026351288923567
30495,0.09070470433398628,1435.610441385461,9390.313376320804,4588.55930113034,4801.754075190464,0.08025208693416311
30500,0.09071957639569049,1512.5993036434502,9370.621567059387,4565.852085530934,4804.769481528452,0.08022921047414092
30505,0.0907344484573947,1581.8835882094054,9347.966568619151,4543.183608810741,4804.78295980841,0.08019479722730438
