side_radius_mm,lagrange,newton,spline,qr_polynomial
2.000000000000000000e+01,1.000000000000000611e-01,1.000000000000000611e-01,1.000000000000000611e-01,1.049303824687557452e-01
2.005000000000000071e+01,9.962777503974867832e-02,9.962777503974869220e-02,9.893864372413520292e-02,1.025318608479954818e-01
2.010000000000000142e+01,9.922816282238390573e-02,9.922816282238389185e-02,9.787735955373723373e-02,1.001615522630014965e-01
2.014999999999999858e+01,9.880173356042580568e-02,9.880173356042580568e-02,9.681621959427308410e-02,9.781934184964846679e-02
2.019999999999999929e+01,9.834905401512673839e-02,9.834905401512675227e-02,9.575529595120946258e-02,9.550511474381373489e-02
2.025000000000000000e+01,9.787068749647141741e-02,9.787068749647141741e-02,9.469466073001335527e-02,9.321875608137197844e-02
2.030000000000000071e+01,9.736719386317671532e-02,9.736719386317671532e-02,9.363438603615160949e-02,9.096015099819876326e-02
2.035000000000000142e+01,9.683912952269187191e-02,9.683912952269187191e-02,9.257454397509110033e-02,8.872918463017320789e-02
2.039999999999999858e+01,9.628704743119836928e-02,9.628704743119836928e-02,9.151520665229880003e-02,8.652574211316821362e-02
2.044999999999999929e+01,9.571149709360989022e-02,9.571149709360989022e-02,9.045644617324138936e-02,8.434970858306201080e-02
2.050000000000000000e+01,9.511302456357245694e-02,9.511302456357247082e-02,8.939833464338585445e-02,8.220096917572927708e-02
2.055000000000000071e+01,9.449217244346441724e-02,9.449217244346440336e-02,8.834094416819905649e-02,8.007940902704557828e-02
2.060000000000000142e+01,9.384947988439623634e-02,9.384947988439623634e-02,8.728434685314785668e-02,7.798491327289003294e-02
2.064999999999999858e+01,9.318548258621087155e-02,9.318548258621087155e-02,8.622861480369921339e-02,7.591736704913465417e-02
2.069999999999999929e+01,9.250071279748328656e-02,9.250071279748328656e-02,8.517382012531987678e-02,7.387665549165856049e-02
2.075000000000000000e+01,9.179569931552090944e-02,9.179569931552090944e-02,8.412003492347674971e-02,7.186266373633731774e-02
2.080000000000000071e+01,9.107096748636338279e-02,9.107096748636339667e-02,8.306733130363673501e-02,6.987527691904560356e-02
2.085000000000000142e+01,9.032703920478267479e-02,9.032703920478264703e-02,8.201578137126668000e-02,6.791438017566076013e-02
2.089999999999999858e+01,8.956443291428294040e-02,8.956443291428292652e-02,8.096545723183357079e-02,6.597985864205924145e-02
2.094999999999999929e+01,8.878366360710057692e-02,8.878366360710056304e-02,7.991643099080411594e-02,6.407159745411572516e-02
2.100000000000000000e+01,8.798524282420434883e-02,8.798524282420434883e-02,7.886877475364525991e-02,6.218948174770666526e-02
2.105000000000000071e+01,8.716967865529529069e-02,8.716967865529530457e-02,7.782256062582387779e-02,6.033339665870851576e-02
2.110000000000000142e+01,8.633747573880667936e-02,8.633747573880667936e-02,7.677786071280681690e-02,5.850322732299773065e-02
2.114999999999999858e+01,8.548913526190411727e-02,8.548913526190410339e-02,7.573474712006107723e-02,5.669885887644898759e-02
2.119999999999999929e+01,8.462515496048525487e-02,8.462515496048526875e-02,7.469329195305332569e-02,5.492017645494051692e-02
2.125000000000000000e+01,8.374602911918033188e-02,8.374602911918031800e-02,7.365356731725056227e-02,5.316706519434699629e-02
